,filename,group,sex,mouse,4hour,Left_Poke_Count,Right_Poke_Count,active_bias
123,SHI_C145_F1_FED005_072620_00.CSV,SHI,F,C145_F1,46,15,0,1.0
124,SHI_C145_F1_FED005_072720_00.CSV,SHI,F,C145_F1,46,14,1,0.9333333333333333
125,SHI_C145_F1_FED005_072820_00.CSV,SHI,F,C145_F1,47,11,2,0.8461538461538461
126,SHI_C148_M0_FED001_061920_01.CSV,SHI,M,C148_M0,1,7,1,0.875
127,SHI_C148_M0_FED001_062020_01.CSV,SHI,M,C148_M0,1,10,0,1.0
128,SHI_C148_M0_FED001_062120_01.CSV,SHI,M,C148_M0,2,12,1,0.9230769230769231
129,SHI_C148_M0_FED001_062420_01.CSV,SHI,M,C148_M0,5,5,0,1.0
130,SHI_C148_M0_FED001_062420_01.CSV,SHI,M,C148_M0,6,9,0,1.0
131,SHI_C148_M0_FED001_062520_01.CSV,SHI,M,C148_M0,7,13,2,0.8666666666666667
132,SHI_C148_M0_FED001_062620_01.CSV,SHI,M,C148_M0,7,7,5,0.5833333333333334
133,SHI_C148_M0_FED001_062620_01.CSV,SHI,M,C148_M0,8,10,5,0.6666666666666666
134,SHI_C148_M0_FED001_063020_01.CSV,SHI,M,C148_M0,11,17,7,0.7083333333333334
135,SHI_C148_M0_FED001_070220_01.CSV,SHI,M,C148_M0,13,5,1,0.8333333333333334
136,SHI_C148_M0_FED001_070220_01.CSV,SHI,M,C148_M0,14,9,1,0.9
137,SHI_C148_M0_FED001_070320_01.CSV,SHI,M,C148_M0,14,9,2,0.8181818181818182
138,SHI_C148_M0_FED001_070320_01.CSV,SHI,M,C148_M0,15,13,2,0.8666666666666667
139,SHI_C148_M0_FED001_070420_01.CSV,SHI,M,C148_M0,15,8,0,1.0
140,SHI_C148_M0_FED001_070520_01.CSV,SHI,M,C148_M0,16,9,2,0.8181818181818182
141,SHI_C148_M0_FED001_070720_01.CSV,SHI,M,C148_M0,19,11,1,0.9166666666666666
142,SHI_C148_M0_FED001_070820_01.CSV,SHI,M,C148_M0,20,13,3,0.8125
143,SHI_C148_M0_FED001_070920_01.CSV,SHI,M,C148_M0,21,15,2,0.8823529411764706
144,SHI_C148_M0_FED001_071020_01.CSV,SHI,M,C148_M0,22,21,2,0.9130434782608695
145,SHI_C148_M0_FED001_071120_01.CSV,SHI,M,C148_M0,23,16,3,0.8421052631578947
146,SHI_C148_M0_FED001_071220_01.CSV,SHI,M,C148_M0,24,1,0,1.0
147,SHI_C148_M0_FED001_071420_01.CSV,SHI,M,C148_M0,26,14,8,0.6363636363636364
148,SHI_C148_M0_FED001_071520_01.CSV,SHI,M,C148_M0,27,16,3,0.8421052631578947
149,SHI_C148_M0_FED001_071620_01.CSV,SHI,M,C148_M0,28,15,3,0.8333333333333334
150,SHI_C148_M0_FED001_071720_01.CSV,SHI,M,C148_M0,29,16,7,0.6956521739130435
151,SHI_C148_M0_FED001_071820_01.CSV,SHI,M,C148_M0,30,14,3,0.8235294117647058
152,SHI_C148_M0_FED001_071920_01.CSV,SHI,M,C148_M0,31,21,5,0.8076923076923077
153,SHI_C148_M0_FED001_072120_01.CSV,SHI,M,C148_M0,33,13,4,0.7647058823529411
154,SHI_C148_M0_FED001_072320_01.CSV,SHI,M,C148_M0,35,15,8,0.6521739130434783
155,SHI_C148_M0_FED001_072420_01.CSV,SHI,M,C148_M0,36,19,1,0.95
156,SHI_C148_M0_FED001_072520_01.CSV,SHI,M,C148_M0,37,22,2,0.9166666666666666
157,SHI_C148_M0_FED001_072620_01.CSV,SHI,M,C148_M0,38,27,10,0.7297297297297297
158,SHI_C148_M0_FED001_072720_01.CSV,SHI,M,C148_M0,39,34,7,0.8292682926829268
159,SHI_C148_M1_FED003_061120_01.CSV,SHI,M,C148_M1,1,1,2,0.3333333333333333
160,SHI_C148_M1_FED003_061220_01.CSV,SHI,M,C148_M1,1,4,8,0.3333333333333333
161,SHI_C148_M1_FED003_061320_01.CSV,SHI,M,C148_M1,2,4,12,0.25
162,SHI_C148_M1_FED003_061420_01.CSV,SHI,M,C148_M1,3,7,6,0.5384615384615384
163,SHI_C148_M1_FED003_061720_01.CSV,SHI,M,C148_M1,7,6,7,0.46153846153846156
164,SHI_C148_M1_FED003_061820_01.CSV,SHI,M,C148_M1,7,10,8,0.5555555555555556
165,SHI_C148_M1_FED003_061920_01.CSV,SHI,M,C148_M1,8,9,2,0.8181818181818182
