MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time,,,,,,,,,,
2/22/2020 2:49,0,4.1,0,1,Poke,Left,47,15,46,nan,,,,,,,,,,
2/22/2020 2:49,0,4.1,3,1,Pellet,Left,47,15,47,1,,,,,,,,,,
2/22/2020 2:50,0,4.1,0,1,Poke,Left,48,15,47,nan,,,,,,,,,,
2/22/2020 2:50,0,4.1,2,1,Pellet,Left,48,15,48,2,,,,,,,,,,
2/22/2020 2:50,0,4.1,0,1,Poke,Left,49,15,48,nan,,,,,,,,,,
2/22/2020 2:50,0,4.1,4,1,Pellet,Left,49,15,49,9,,,,,,,,,,
2/22/2020 2:51,0,4.1,0,1,Poke,Left,50,15,49,nan,,,,,,,,,,
2/22/2020 2:51,0,4.1,2,1,Pellet,Left,50,15,50,11,,,,,,,,,,
2/22/2020 2:51,0,4.1,0,1,Poke,Left,50,16,50,nan,,,,,,,,,,
2/22/2020 2:53,0,4.11,0,1,Poke,Left,50,17,50,nan,,,,,,,,,,
2/22/2020 2:54,0,4.1,0,1,Poke,Left,51,17,50,nan,,,,,,,,,,
2/22/2020 2:54,0,4.09,2,1,Pellet,Left,51,17,51,2,,,,,,,,,,
2/22/2020 2:54,0,4.1,0,1,Poke,Left,52,17,51,nan,,,,,,,,,,
2/22/2020 2:54,0,4.1,2,1,Pellet,Left,52,17,52,1,,,,,,,,,,
2/22/2020 2:55,0,4.1,0,1,Poke,Left,53,17,52,nan,,,,,,,,,,
2/22/2020 2:56,0,4.09,40,1,Pellet,Left,53,17,53,15,,,,,,,,,,
2/22/2020 2:57,0,4.1,0,1,Poke,Left,54,17,53,nan,,,,,,,,,,
2/22/2020 2:57,0,4.09,3,1,Pellet,Left,54,17,54,9,,,,,,,,,,
2/22/2020 2:57,0,4.1,0,1,Poke,Left,55,17,54,nan,,,,,,,,,,
2/22/2020 3:29,0,4.09,4,1,Pellet,Left,55,17,55,1890,,,,,,,,,,
2/22/2020 3:29,0,4.09,0,1,Poke,Left,56,17,55,nan,,,,,,,,,,
2/22/2020 3:30,0,4.09,2,1,Pellet,Left,56,17,56,16,,,,,,,,,,
2/22/2020 3:33,0,4.09,0,1,Poke,Left,56,18,56,nan,,,,,,,,,,
2/22/2020 3:37,0,4.1,0,1,Poke,Left,57,18,56,nan,,,,,,,,,,
2/22/2020 3:38,0,4.09,2,1,Pellet,Left,57,18,57,1,,,,,,,,,,
2/22/2020 4:32,0,4.09,0,1,Poke,Left,57,19,57,nan,,,,,,,,,,
2/22/2020 4:32,0,4.09,0,1,Poke,Left,57,20,57,nan,,,,,,,,,,
2/22/2020 4:32,0,4.09,0,1,Poke,Left,57,21,57,nan,,,,,,,,,,
2/22/2020 4:32,0,4.09,0,1,Poke,Left,57,22,57,nan,,,,,,,,,,
2/22/2020 4:32,0,4.09,0,1,Poke,Left,57,23,57,nan,,,,,,,,,,
2/22/2020 4:32,0,4.09,0,1,Poke,Left,57,24,57,nan,,,,,,,,,,
2/22/2020 4:32,0,4.09,0,1,Poke,Left,57,25,57,nan,,,,,,,,,,
2/22/2020 4:32,0,4.09,0,1,Poke,Left,58,25,57,nan,,,,,,,,,,
2/22/2020 4:32,0,4.08,4,1,Pellet,Left,58,25,58,7,,,,,,,,,,
